	PVALUE	QVALUE	PROV_PVALUE	SIFT_PVALUE
ENSG00000000460	0.9404611006064127	1.0	0.7655	0.8823
ENSG00000000938	0.11703380144527886	0.7478237807308941	0.1525	0.1636
ENSG00000000971	0.06029074016144498	0.6155631280329134	0.0594	0.184
ENSG00000001084	0.003235985647384698	0.273143895950936	0.0155	0.0234
ENSG00000001460	0.592639679686928	1.0	0.5995	0.4123
ENSG00000001497	0.5927538413078544	1.0	0.4754	0.5201
ENSG00000001629	0.9266838834586327	1.0	0.7121	0.9021
ENSG00000001630	0.5835661555506328	1.0	0.6132	0.3926
ENSG00000001631	0.042409577415261634	0.5614918132949327	0.1062	0.0672
ENSG00000002549	0.009945919109635049	0.37402853524432095	0.0556	0.0234
ENSG00000002746	0.9359783194785514	1.0	0.8119	0.8181
ENSG00000003096	0.1709043063450839	0.835943107789867	0.6052	0.0672
ENSG00000003147	0.5292510643483008	1.0	0.3298	0.6204
ENSG00000003402	0.5164575540698355	1.0	0.3053	0.6441
ENSG00000003436	0.8148363656849464	1.0	0.6101	0.749
ENSG00000003509	0.16410194914122056	0.8291795652716814	0.3008	0.1282
ENSG00000003989	0.9858569375542499	1.0	0.8837	0.9467
ENSG00000004139	0.8676343053614809	1.0	0.6656	0.799
ENSG00000004399	0.8750928662496501	1.0	0.6159	0.883
ENSG00000004534	0.4400013382723783	1.0	0.7273	0.2102
ENSG00000004766	0.1291212061995768	0.7647468541095707	0.2109	0.1341
ENSG00000004777	0.13354861688688602	0.774770892684419	0.6392	0.0462
ENSG00000004846	0.10363256608365456	0.7300352468833459	0.1878	0.1139
ENSG00000004848	0.9991309426171826	1.0	0.9586	1.0
ENSG00000004866	0.058640229246395226	0.6122318338720483	0.085	0.1243
ENSG00000004897	0.9999566203136232	1.0	0.9907	1.0
ENSG00000004948	0.9955375021534015	1.0	0.9586	0.9462
ENSG00000005007	0.8537616740663965	1.0	0.6664	0.7661
ENSG00000005022	0.9920744643333055	1.0	0.9907	0.885
ENSG00000005108	0.9672980984120104	1.0	0.9907	0.7625
ENSG00000005156	0.8669157518202144	1.0	0.742	0.7152
ENSG00000005187	0.5801518434954018	1.0	0.6351	0.3753
ENSG00000005339	0.00041314101970690853	0.19481188083102685	0.0019	0.0194
ENSG00000005379	0.2560729929981205	0.9274318877169854	0.5317	0.1316
ENSG00000005471	0.03566610872666964	0.5224486108585391	0.0863	0.0672
ENSG00000005483	0.05922568963884578	0.6122318338720483	0.1007	0.1062
ENSG00000005486	0.8185616257800543	1.0	0.6559	0.704
ENSG00000005513	0.6898505957903456	1.0	0.6446	0.5036
ENSG00000005700	0.9463219635952539	1.0	0.9057	0.7627
ENSG00000005810	0.7403931537460177	1.0	0.4935	0.7549
ENSG00000005844	0.012952373396394878	0.4059852827174243	0.0562	0.0314
ENSG00000005955	0.6705176444120975	1.0	0.662	0.465
ENSG00000005961	0.9132251363638785	1.0	0.7445	0.824
ENSG00000006016	0.9675676055685013	1.0	0.8436	0.8966
ENSG00000006025	0.9852468625749781	1.0	0.9956	0.8369
ENSG00000006071	0.9991309426171826	1.0	0.9586	1.0
ENSG00000006114	0.05817352129743003	0.6122318338720483	0.1557	0.0672
ENSG00000006116	0.6657746500455162	1.0	0.4341	0.6999
ENSG00000006118	0.9869893062698457	1.0	0.8931	0.944
ENSG00000006194	0.36289249996536765	1.0	0.3393	0.3378
ENSG00000006282	0.8058070760538292	1.0	0.9907	0.4498
ENSG00000006283	0.037383089295905614	0.531689877920885	0.0148	0.4145
ENSG00000006432	0.29801781722634835	0.9709836196890061	0.2013	0.4293
ENSG00000006453	0.28220188427353876	0.9594551029377661	0.1182	0.6773
ENSG00000006555	0.6713495907295606	1.0	0.4524	0.682
ENSG00000006576	0.9248686429491315	1.0	0.9983	0.6394
ENSG00000006611	0.12163719019721775	0.7544450948732481	0.5672	0.0462
ENSG00000006712	0.17932195894173675	0.8491540699421041	0.3653	0.1186
ENSG00000006715	0.967444552609083	1.0	0.9112	0.8296
ENSG00000006740	0.25932929857312326	0.9312489200153082	0.2493	0.2856
ENSG00000006756	0.0018652310578849418	0.25573034630475533	0.0032	0.0611
ENSG00000006788	0.02606861549626882	0.4886868898841831	0.1063	0.0376
ENSG00000006831	0.47497787736130426	1.0	0.3976	0.4329
ENSG00000006837	0.03350130970997789	0.508251137565981	0.23	0.0234
ENSG00000007047	0.9611481059840359	1.0	0.8077	0.9094
ENSG00000007062	0.89744297743906	1.0	0.7169	0.8129
ENSG00000007171	0.9775901815695333	1.0	0.999	0.7967
ENSG00000007174	0.9750723517012986	1.0	0.8209	0.9565
ENSG00000007202	0.9999566203136232	1.0	0.9907	1.0
ENSG00000007237	0.21863973871060027	0.8935680877473113	0.229	0.2464
ENSG00000007314	0.04732357746145044	0.5827474408638085	0.0808	0.1008
ENSG00000007384	0.6191298988039857	1.0	0.6903	0.3863
ENSG00000007402	0.36999368174437386	1.0	0.3636	0.3243
ENSG00000007541	0.16885403379091157	0.8327234329350667	0.2219	0.1804
ENSG00000007944	0.35441652837363447	1.0	0.2634	0.4204
ENSG00000007952	0.8578303892106482	1.0	0.7126	0.725
ENSG00000007968	0.5405435539477736	1.0	0.3498	0.6055
ENSG00000008056	0.9949778786545003	1.0	0.9586	0.9404
ENSG00000008196	0.4797549797878782	1.0	0.457	0.3826
ENSG00000008197	0.21713169349137507	0.8935671481478163	0.1626	0.3438
ENSG00000008226	0.6903320131591653	1.0	0.7445	0.4366
ENSG00000008256	0.9289003651534752	1.0	0.9586	0.6754
ENSG00000008277	0.38505400927122846	1.0	0.4235	0.2953
ENSG00000008294	0.1255079160790724	0.762047721295108	0.1694	0.161
